Description,Symbol,Transaction Date,Settlement Date,Account Currency,Type,Quantity,Currency of Price,Price,Settlement Amount
ISHARES 1-5 YR LADDERED CORP BD INDEX FD COM UNIT DIST      ON     200 SHS REC 06/21/13 PAY 06/28/13      , ,28-Jun-2013,28-Jun-2013,CAD,CASH DIV,0.00,CAD,0.000,14.80,
GOLDMAN SACHS GROUP INC CASH DIV  ON      26 SHS REC 05/30/13 PAY 06/27/13      , ,27-Jun-2013,27-Jun-2013,CAD,STOCKDIV,0.00,CAD,0.000,13.51,
MKS INSTRUMENTS INC CASH DIV  ON     150 SHS REC 06/03/13 PAY 06/14/13      , ,14-Jun-2013,14-Jun-2013,CAD,STOCKDIV,0.00,CAD,0.000,24.17,
ELI LILLY & CO CASH DIV  ON      50 SHS REC 05/16/13 PAY 06/10/13      , ,10-Jun-2013,10-Jun-2013,CAD,STOCKDIV,0.00,CAD,0.000,24.86,
ISHARES TRUST BARCLAYS 1-3 YEAR TREASURY BD FD DIST      ON       4 SHS REC 06/05/13 PAY 06/07/13      , ,07-Jun-2013,07-Jun-2013,CAD,CASH DIV,0.00,CAD,0.000,0.07,
ISHARES DIVERSIFIED MONTHLY INCOME FUND DIST      ON     500 SHS REC 05/28/13 PAY 05/31/13      , ,31-May-2013,31-May-2013,CAD,CASH DIV,0.00,CAD,0.000,30.00,
ISHARES 1-5 YR LADDERED CORP BD INDEX FD COM UNIT DIST      ON     200 SHS REC 05/28/13 PAY 05/31/13      , ,31-May-2013,31-May-2013,CAD,CASH DIV,0.00,CAD,0.000,14.80,
HOSPITALITY PROPERTIES TRUST SBI DIST      ON     100 SHS REC 04/26/13 PAY 05/24/13      , ,24-May-2013,24-May-2013,CAD,CASH DIV,0.00,CAD,0.000,48.20,
NEW YORK COMMUNITY BANCORP INC CASH DIV  ON     175 SHS REC 05/07/13 PAY 05/17/13      , ,17-May-2013,17-May-2013,CAD,STOCKDIV,0.00,CAD,0.000,44.19,
ISHARES TRUST BARCLAYS 1-3 YEAR TREASURY BD FD DIST      ON       4 SHS REC 05/03/13 PAY 05/07/13      , ,07-May-2013,07-May-2013,CAD,CASH DIV,0.00,CAD,0.000,0.07,
POTASH CORP OF SASKATCHEWAN INC CANADIAN LISTED CASH DIV  ON     100 SHS REC 04/11/13 PAY 05/02/13      , ,02-May-2013,02-May-2013,CAD,STOCKDIV,0.00,CAD,0.000,28.30,
ISHARES DIVERSIFIED MONTHLY INCOME FUND DIST      ON     500 SHS REC 04/25/13 PAY 04/30/13      , ,30-Apr-2013,30-Apr-2013,CAD,CASH DIV,0.00,CAD,0.000,30.00,
ISHARES 1-5 YR LADDERED CORP BD INDEX FD COM UNIT DIST      ON     200 SHS REC 04/25/13 PAY 04/30/13      , ,30-Apr-2013,30-Apr-2013,CAD,CASH DIV,0.00,CAD,0.000,14.80,
CANADIAN IMPERIAL BANK OF COMMERCE CASH DIV  ON      25 SHS REC 03/28/13 PAY 04/29/13      , ,29-Apr-2013,29-Apr-2013,CAD,STOCKDIV,0.00,CAD,0.000,23.50,
SAFEWAY INC CASH DIV  ON      50 SHS REC 03/25/13 PAY 04/11/13      , ,11-Apr-2013,11-Apr-2013,CAD,STOCKDIV,0.00,CAD,0.000,8.80,
ISHARES TRUST BARCLAYS 1-3 YEAR TREASURY BD FD DIST      ON       4 SHS REC 04/03/13 PAY 04/05/13      , ,05-Apr-2013,05-Apr-2013,CAD,CASH DIV,0.00,CAD,0.000,0.07,
conf#null Scotia Online US-Friendly Quarterly Fee      , ,01-Apr-2013,01-Apr-2013,CAD,FEE,0.00,CAD,0.000,-30.00,
conf#null Scotia Online US-Friendly Qtrly Fee-GST      , ,01-Apr-2013,01-Apr-2013,CAD,GST,0.00,CAD,0.000,-1.50,
COCA COLA COMPANY (THE) CASH DIV  ON      94 SHS REC 03/15/13 PAY 04/01/13      , ,01-Apr-2013,01-Apr-2013,CAD,STOCKDIV,0.00,CAD,0.000,26.50,
GOLDMAN SACHS GROUP INC CASH DIV  ON      26 SHS REC 02/28/13 PAY 03/28/13      , ,28-Mar-2013,28-Mar-2013,CAD,STOCKDIV,0.00,CAD,0.000,13.14,
ISHARES DIVERSIFIED MONTHLY INCOME FUND DIST      ON     500 SHS REC 03/25/13 PAY 03/28/13      , ,28-Mar-2013,28-Mar-2013,CAD,CASH DIV,0.00,CAD,0.000,30.00,
ISHARES 1-5 YR LADDERED CORP BD INDEX FD COM UNIT DIST      ON     200 SHS REC 03/25/13 PAY 03/28/13      , ,28-Mar-2013,28-Mar-2013,CAD,CASH DIV,0.00,CAD,0.000,14.80,
MKS INSTRUMENTS INC CASH DIV  ON     150 SHS REC 03/01/13 PAY 03/15/13      , ,15-Mar-2013,15-Mar-2013,CAD,STOCKDIV,0.00,CAD,0.000,24.34,
ELI LILLY & CO CASH DIV  ON      50 SHS REC 02/15/13 PAY 03/08/13      , ,08-Mar-2013,08-Mar-2013,CAD,STOCKDIV,0.00,CAD,0.000,25.04,
ISHARES TRUST BARCLAYS 1-3 YEAR TREASURY BD FD DIST      ON       4 SHS REC 03/05/13 PAY 03/07/13      , ,07-Mar-2013,07-Mar-2013,CAD,CASH DIV,0.00,CAD,0.000,0.07,
ISHARES DIVERSIFIED MONTHLY INCOME FUND DIST      ON     500 SHS REC 02/25/13 PAY 02/28/13      , ,28-Feb-2013,28-Feb-2013,CAD,CASH DIV,0.00,CAD,0.000,30.00,
ISHARES 1-5 YR LADDERED CORP BD INDEX FD COM UNIT DIST      ON     200 SHS REC 02/25/13 PAY 02/28/13      , ,28-Feb-2013,28-Feb-2013,CAD,CASH DIV,0.00,CAD,0.000,14.80,
NEW YORK COMMUNITY BANCORP INC CASH DIV  ON     175 SHS REC 02/11/13 PAY 02/22/13      , ,22-Feb-2013,22-Feb-2013,CAD,STOCKDIV,0.00,CAD,0.000,44.19,
HOSPITALITY PROPERTIES TRUST SBI DIST      ON     100 SHS REC 01/31/13 PAY 02/22/13      , ,22-Feb-2013,22-Feb-2013,CAD,CASH DIV,0.00,CAD,0.000,47.47,
ISHARES TRUST BARCLAYS 1-3 YEAR TREASURY BD FD DIST      ON       4 SHS REC 02/05/13 PAY 02/07/13      , ,07-Feb-2013,07-Feb-2013,CAD,CASH DIV,0.00,CAD,0.000,0.08,
POTASH CORP OF SASKATCHEWAN INC CANADIAN LISTED CASH DIV  ON     100 SHS REC 01/17/13 PAY 02/07/13      , ,07-Feb-2013,07-Feb-2013,CAD,STOCKDIV,0.00,CAD,0.000,20.69,
ISHARES DIVERSIFIED MONTHLY INCOME FUND DIST      ON     500 SHS REC 01/28/13 PAY 01/31/13      , ,31-Jan-2013,31-Jan-2013,CAD,CASH DIV,0.00,CAD,0.000,30.00,
ISHARES 1-5 YR LADDERED CORP BD INDEX FD COM UNIT DIST      ON     200 SHS REC 01/28/13 PAY 01/31/13      , ,31-Jan-2013,31-Jan-2013,CAD,CASH DIV,0.00,CAD,0.000,14.80,
CANADIAN IMPERIAL BANK OF COMMERCE CASH DIV  ON      25 SHS REC 12/28/12 PAY 01/28/13      , ,28-Jan-2013,28-Jan-2013,CAD,STOCKDIV,0.00,CAD,0.000,23.50,
ISHARES BRIC INDEX FUND UNIT COM DIST      ON     450 SHS REC 12/28/12 PAY 01/07/13      , ,07-Jan-2013,07-Jan-2013,CAD,CASH DIV,0.00,CAD,0.000,248.27,
ISHARES 1-5 YR LADDERED CORP BD INDEX FD COM UNIT DIST      ON     200 SHS REC 12/28/12 PAY 01/07/13      , ,07-Jan-2013,07-Jan-2013,CAD,CASH DIV,0.00,CAD,0.000,14.80,
ISHARES DIVERSIFIED MONTHLY INCOME FUND DIST      ON     500 SHS REC 12/28/12 PAY 01/03/13      , ,03-Jan-2013,03-Jan-2013,CAD,CASH DIV,0.00,CAD,0.000,30.00,
conf#null Scotia Online US-Friendly Quarterly Fee      , ,02-Jan-2013,02-Jan-2013,CAD,FEE,0.00,CAD,0.000,-30.00,
conf#null Scotia Online US-Friendly Qtrly Fee-HST      , ,02-Jan-2013,02-Jan-2013,CAD,HST,0.00,CAD,0.000,-3.60,
ISHARES TRUST BARCLAYS 1-3 YEAR TREASURY BD FD DIST      ON       4 SHS REC 12/28/12 PAY 01/02/13      , ,02-Jan-2013,02-Jan-2013,CAD,CASH DIV,0.00,CAD,0.000,0.08,
SAFEWAY INC CASH DIV  ON      50 SHS REC 12/17/12 PAY 12/31/12      , ,31-Dec-2012,31-Dec-2012,CAD,STOCKDIV,0.00,CAD,0.000,8.63,
GOLDMAN SACHS GROUP INC CASH DIV  ON      26 SHS REC 11/30/12 PAY 12/28/12      , ,28-Dec-2012,28-Dec-2012,CAD,STOCKDIV,0.00,CAD,0.000,12.77,
COCA COLA COMPANY (THE) CASH DIV  ON      94 SHS REC 11/30/12 PAY 12/17/12      , ,17-Dec-2012,17-Dec-2012,CAD,STOCKDIV,0.00,CAD,0.000,23.39,
MKS INSTRUMENTS INC CASH DIV  ON     150 SHS REC 11/30/12 PAY 12/14/12      , ,14-Dec-2012,14-Dec-2012,CAD,STOCKDIV,0.00,CAD,0.000,23.38,
ELI LILLY & CO CASH DIV  ON      50 SHS REC 11/15/12 PAY 12/10/12      , ,10-Dec-2012,10-Dec-2012,CAD,STOCKDIV,0.00,CAD,0.000,23.99,
ISHARES BROAD COMMODITY INDEX FD CAD HEDGED COM UNIT CASH IN LIEU OF FRAC SHARES 46432N100000      , ,10-Dec-2012,10-Dec-2012,CAD,CASHINLIEU,0.00,CAD,0.000,15.56,
ISHARES TRUST BARCLAYS 1-3 YEAR TREASURY BD FD DIST      ON       4 SHS REC 12/05/12 PAY 12/07/12      , ,07-Dec-2012,07-Dec-2012,CAD,CASH DIV,0.00,CAD,0.000,0.08,
ISHARES 1-5 YR LADDERED CORP BD INDEX FD COM UNIT DIST      ON     200 SHS REC 11/29/12 PAY 12/06/12      , ,06-Dec-2012,06-Dec-2012,CAD,CASH DIV,0.00,CAD,0.000,14.80,
ISHARES NATURAL GAS COMMODITY INDEX FD COM UNIT AS OF 11/30/12 MANDATORY MERGER      , ,30-Nov-2012,30-Nov-2012,CAD,MERGER,-40.00,CAD,0.000,0.00,
ISHARES BROAD COMMODITY INDEX FD CAD HEDGED COM UNIT AS OF 11/30/12 SHRS RECEIVED THRU MERGER      , ,30-Nov-2012,30-Nov-2012,CAD,MERGER,22.00,CAD,0.000,0.00,
ISHARES DIVERSIFIED MONTHLY INCOME FUND DIST      ON     500 SHS REC 11/26/12 PAY 11/30/12      , ,30-Nov-2012,30-Nov-2012,CAD,CASH DIV,0.00,CAD,0.000,30.00,
HOSPITALITY PROPERTIES TRUST SBI DIST      ON     100 SHS REC 10/22/12 PAY 11/21/12      , ,21-Nov-2012,21-Nov-2012,CAD,CASH DIV,0.00,CAD,0.000,46.44,
NEW YORK COMMUNITY BANCORP INC CASH DIV  ON     175 SHS REC 11/07/12 PAY 11/16/12      , ,16-Nov-2012,16-Nov-2012,CAD,STOCKDIV,0.00,CAD,0.000,43.44,
ISHARES TRUST BARCLAYS 1-3 YEAR TREASURY BD FD DIST      ON       4 SHS REC 11/05/12 PAY 11/07/12      , ,07-Nov-2012,07-Nov-2012,CAD,CASH DIV,0.00,CAD,0.000,0.09,
ISHARES 1-5 YR LADDERED CORP BD INDEX FD COM UNIT DIST      ON     200 SHS REC 10/30/12 PAY 11/06/12      , ,06-Nov-2012,06-Nov-2012,CAD,CASH DIV,0.00,CAD,0.000,14.80,
POTASH CORP OF SASKATCHEWAN INC CANADIAN LISTED CASH DIV  ON     100 SHS REC 10/15/12 PAY 11/05/12      , ,05-Nov-2012,05-Nov-2012,CAD,STOCKDIV,0.00,CAD,0.000,20.55,
ISHARES DIVERSIFIED MONTHLY INCOME FUND    ,XTR,01-Nov-2012,06-Nov-2012,CAD,SELL,-500.00,CAD,12.400,6190.01,
ISHARES DIVERSIFIED MONTHLY INCOME FUND DIST      ON    1000 SHS REC 10/26/12 PAY 10/31/12      , ,31-Oct-2012,31-Oct-2012,CAD,CASH DIV,0.00,CAD,0.000,60.00,
CANADIAN IMPERIAL BANK OF COMMERCE CASH DIV  ON      25 SHS REC 09/28/12 PAY 10/29/12      , ,29-Oct-2012,29-Oct-2012,CAD,STOCKDIV,0.00,CAD,0.000,23.50,
SPEEDWAY MOTORSPORTS INC      ,TRK,24-Oct-2012,29-Oct-2012,CAD,SELL,-260.00,USD,16.880,4337.11,
SAFEWAY INC CASH DIV  ON      50 SHS REC 09/20/12 PAY 10/11/12      , ,11-Oct-2012,11-Oct-2012,CAD,STOCKDIV,0.00,CAD,0.000,8.47,
ISHARES TRUST BARCLAYS 1-3 YEAR TREASURY BD FD DIST      ON       4 SHS REC 10/03/12 PAY 10/05/12      , ,05-Oct-2012,05-Oct-2012,CAD,CASH DIV,0.00,CAD,0.000,0.09,
ISHARES 1-5 YR LADDERED CORP BD INDEX FD COM UNIT DIST      ON     200 SHS REC 09/27/12 PAY 10/04/12      , ,04-Oct-2012,04-Oct-2012,CAD,CASH DIV,0.00,CAD,0.000,14.80,
conf#null Scotia Online US-Friendly Quarterly Fee      , ,01-Oct-2012,01-Oct-2012,CAD,FEE,0.00,CAD,0.000,-30.00,
conf#null Scotia Online US-Friendly Qtrly Fee-HST      , ,01-Oct-2012,01-Oct-2012,CAD,HST,0.00,CAD,0.000,-3.60,
COCA COLA COMPANY (THE) CASH DIV  ON      94 SHS REC 09/14/12 PAY 10/01/12      , ,01-Oct-2012,01-Oct-2012,CAD,STOCKDIV,0.00,CAD,0.000,23.29,
HUSKY ENERGY INC COMMON CASH DIV  ON      35 SHS REC 08/21/12 PAY 10/01/12      , ,01-Oct-2012,01-Oct-2012,CAD,STOCKDIV,0.00,CAD,0.000,10.50,
ISHARES DIVERSIFIED MONTHLY INCOME FUND DIST      ON    1000 SHS REC 09/25/12 PAY 09/28/12      , ,28-Sep-2012,28-Sep-2012,CAD,CASH DIV,0.00,CAD,0.000,60.00,
GOLDMAN SACHS GROUP INC CASH DIV  ON      26 SHS REC 08/30/12 PAY 09/27/12      , ,27-Sep-2012,27-Sep-2012,CAD,STOCKDIV,0.00,CAD,0.000,11.64,
MKS INSTRUMENTS INC CASH DIV  ON     150 SHS REC 08/31/12 PAY 09/14/12      , ,14-Sep-2012,14-Sep-2012,CAD,STOCKDIV,0.00,CAD,0.000,23.08,
ELI LILLY & CO CASH DIV  ON      50 SHS REC 08/15/12 PAY 09/10/12      , ,10-Sep-2012,10-Sep-2012,CAD,STOCKDIV,0.00,CAD,0.000,23.74,
ISHARES TRUST BARCLAYS 1-3 YEAR TREASURY BD FD DIST      ON       4 SHS REC 09/06/12 PAY 09/10/12      , ,10-Sep-2012,10-Sep-2012,CAD,CASH DIV,0.00,CAD,0.000,0.09,
SPEEDWAY MOTORSPORTS INC CASH DIV  ON     260 SHS REC 08/17/12 PAY 09/07/12      , ,07-Sep-2012,07-Sep-2012,CAD,STOCKDIV,0.00,CAD,0.000,37.93,
ISHARES 1-5 YR LADDERED CORP BD INDEX FD COM UNIT DIST      ON     200 SHS REC 08/30/12 PAY 09/07/12      , ,07-Sep-2012,07-Sep-2012,CAD,CASH DIV,0.00,CAD,0.000,15.20,
ISHARES DIVERSIFIED MONTHLY INCOME FUND DIST      ON    1000 SHS REC 08/28/12 PAY 08/31/12      , ,31-Aug-2012,31-Aug-2012,CAD,CASH DIV,0.00,CAD,0.000,60.00,
AT&T INC      ,T,27-Aug-2012,30-Aug-2012,CAD,SELL,-60.00,USD,36.950,2185.99,
CISCO SYSTEMS INC      ,CSCO,27-Aug-2012,30-Aug-2012,CAD,SELL,-200.00,USD,19.220,3797.50,
HUSKY ENERGY INC COMMON      ,HSE,27-Aug-2012,30-Aug-2012,CAD,SELL,-35.00,CAD,26.370,912.96,
ISHARES BRIC INDEX FUND UNIT COM    ,CBQ,27-Aug-2012,30-Aug-2012,CAD,BUY,200.00,CAD,23.550,-4710.00,
BERKSHIRE HATHAWAY INC DEL CL B NEW    ,BRK.B,27-Aug-2012,30-Aug-2012,CAD,SELL,-25.00,USD,85.390,2104.53,
HOSPITALITY PROPERTIES TRUST SBI DIST      ON     100 SHS REC 07/27/12 PAY 08/22/12      , ,22-Aug-2012,22-Aug-2012,CAD,CASH DIV,0.00,CAD,0.000,43.97,
NEW YORK COMMUNITY BANCORP INC CASH DIV  ON     175 SHS REC 08/07/12 PAY 08/17/12      , ,17-Aug-2012,17-Aug-2012,CAD,STOCKDIV,0.00,CAD,0.000,42.88,
COCA COLA COMPANY (THE) STK SPLIT ON      47 SHS REC 07/27/12 PAY 08/10/12      , ,10-Aug-2012,10-Aug-2012,CAD,EXCHADJ,47.00,CAD,0.000,0.00,
ISHARES TRUST BARCLAYS 1-3 YEAR TREASURY BD FD DIST      ON       4 SHS REC 08/03/12 PAY 08/07/12      , ,07-Aug-2012,07-Aug-2012,CAD,CASH DIV,0.00,CAD,0.000,0.10,
ISHARES 1-5 YR LADDERED CORP BD INDEX FD COM UNIT CASH DIV  ON     200 SHS REC 07/30/12 PAY 08/07/12      , ,07-Aug-2012,07-Aug-2012,CAD,STOCKDIV,0.00,CAD,0.000,15.20,
POTASH CORP OF SASKATCHEWAN INC CANADIAN LISTED CASH DIV  ON     100 SHS REC 07/13/12 PAY 08/03/12      , ,03-Aug-2012,03-Aug-2012,CAD,STOCKDIV,0.00,CAD,0.000,14.21,
AT&T INC CASH DIV  ON      60 SHS REC 07/10/12 PAY 08/01/12      , ,01-Aug-2012,01-Aug-2012,CAD,STOCKDIV,0.00,CAD,0.000,26.22,
ISHARES DIVERSIFIED MONTHLY INCOME FUND DIST      ON    1000 SHS REC 07/26/12 PAY 07/31/12      , ,31-Jul-2012,31-Jul-2012,CAD,CASH DIV,0.00,CAD,0.000,60.00,
CANADIAN IMPERIAL BANK OF COMMERCE CASH DIV  ON      25 SHS REC 06/28/12 PAY 07/27/12      , ,27-Jul-2012,27-Jul-2012,CAD,STOCKDIV,0.00,CAD,0.000,22.50,
CISCO SYSTEMS INC CASH DIV  ON     200 SHS REC 07/05/12 PAY 07/25/12      , ,25-Jul-2012,25-Jul-2012,CAD,STOCKDIV,0.00,CAD,0.000,16.15,
SAFEWAY INC CASH DIV  ON      50 SHS REC 06/21/12 PAY 07/12/12      , ,12-Jul-2012,12-Jul-2012,CAD,STOCKDIV,0.00,CAD,0.000,8.83,
ISHARES TRUST BARCLAYS 1-3 YEAR TREASURY BD FD DIST      ON       4 SHS REC 07/05/12 PAY 07/09/12      , ,09-Jul-2012,09-Jul-2012,CAD,CASH DIV,0.00,CAD,0.000,0.10,
ISHARES BRIC INDEX FUND UNIT COM CASH DIV  ON     250 SHS REC 06/28/12 PAY 07/06/12      , ,06-Jul-2012,06-Jul-2012,CAD,STOCKDIV,0.00,CAD,0.000,27.50,
conf#null Scotia Online US-Friendly Quarterly Fee      , ,03-Jul-2012,03-Jul-2012,CAD,FEE,0.00,CAD,0.000,-30.00,
conf#null Scotia Online US-Friendly Qtrly Fee-HST      , ,03-Jul-2012,03-Jul-2012,CAD,HST,0.00,CAD,0.000,-3.60,
COCA COLA CO CASH DIV  ON      47 SHS REC 06/15/12 PAY 07/01/12      , ,03-Jul-2012,03-Jul-2012,CAD,STOCKDIV,0.00,CAD,0.000,24.19,
HUSKY ENERGY INC COMMON CASH DIV  ON      35 SHS REC 05/22/12 PAY 07/03/12      , ,03-Jul-2012,03-Jul-2012,CAD,STOCKDIV,0.00,CAD,0.000,10.50,
ISHARES DIVERSIFIED MONTHLY INCOME FUND DIST      ON    1000 SHS REC 06/26/12 PAY 06/29/12      , ,29-Jun-2012,29-Jun-2012,CAD,CASH DIV,0.00,CAD,0.000,60.00,
ISHARES 1-5 YR LADDERED CORP BD INDEX FD COM UNIT    ,CBO,29-Jun-2012,05-Jul-2012,CAD,BUY,200.00,CAD,20.200,-4040.00,
GOLDMAN SACHS GROUP INC CASH DIV  ON      26 SHS REC 05/31/12 PAY 06/28/12      , ,28-Jun-2012,28-Jun-2012,CAD,STOCKDIV,0.00,CAD,0.000,12.16,
MKS INSTRUMENTS INC CASH DIV  ON     150 SHS REC 06/01/12 PAY 06/15/12      , ,15-Jun-2012,15-Jun-2012,CAD,STOCKDIV,0.00,CAD,0.000,22.89,
ELI LILLY & CO CASH DIV  ON      50 SHS REC 05/15/12 PAY 06/08/12      , ,08-Jun-2012,08-Jun-2012,CAD,STOCKDIV,0.00,CAD,0.000,24.89,
SPEEDWAY MOTORSPORTS INC CASH DIV  ON     260 SHS REC 05/18/12 PAY 06/08/12      , ,08-Jun-2012,08-Jun-2012,CAD,STOCKDIV,0.00,CAD,0.000,39.62,
ISHARES TRUST BARCLAYS 1-3 YEAR TREASURY BD FD DIST      ON       4 SHS REC 06/05/12 PAY 06/07/12      , ,07-Jun-2012,07-Jun-2012,CAD,CASH DIV,0.00,CAD,0.000,0.11,
ISHARES DIVERSIFIED MONTHLY INCOME FUND DIST      ON    1000 SHS REC 05/25/12 PAY 05/31/12      , ,31-May-2012,31-May-2012,CAD,CASH DIV,0.00,CAD,0.000,60.00,
HOSPITALITY PROPERTIES TRUST SBI DIST      ON     100 SHS REC 04/26/12 PAY 05/24/12      , ,24-May-2012,24-May-2012,CAD,CASH DIV,0.00,CAD,0.000,45.86,
NEW YORK COMMUNITY BANCORP INC CASH DIV  ON     175 SHS REC 05/07/12 PAY 05/17/12      , ,17-May-2012,17-May-2012,CAD,STOCKDIV,0.00,CAD,0.000,43.73,
ISHARES TRUST BARCLAYS 1-3 YEAR TREASURY BD FD DIST      ON       4 SHS REC 05/03/12 PAY 05/07/12      , ,07-May-2012,07-May-2012,CAD,CASH DIV,0.00,CAD,0.000,0.11,
POTASH CORP OF SASKATCHEWAN INC CANADIAN LISTED CASH DIV  ON     100 SHS REC 04/12/12 PAY 05/03/12      , ,03-May-2012,03-May-2012,CAD,STOCKDIV,0.00,CAD,0.000,13.93,
AT&T INC CASH DIV  ON      60 SHS REC 04/10/12 PAY 05/01/12      , ,01-May-2012,01-May-2012,CAD,STOCKDIV,0.00,CAD,0.000,25.85,
ISHARES DIVERSIFIED MONTHLY INCOME FUND DIST      ON    1000 SHS REC 04/25/12 PAY 04/30/12      , ,30-Apr-2012,30-Apr-2012,CAD,CASH DIV,0.00,CAD,0.000,60.00,
CANADIAN IMPERIAL BANK OF COMMERCE CASH DIV  ON      25 SHS REC 03/28/12 PAY 04/27/12      , ,27-Apr-2012,27-Apr-2012,CAD,STOCKDIV,0.00,CAD,0.000,22.50,
CISCO SYSTEMS INC CASH DIV  ON     200 SHS REC 04/05/12 PAY 04/25/12      , ,25-Apr-2012,25-Apr-2012,CAD,STOCKDIV,0.00,CAD,0.000,15.68,
SAFEWAY INC CASH DIV  ON      50 SHS REC 03/29/12 PAY 04/12/12      , ,12-Apr-2012,12-Apr-2012,CAD,STOCKDIV,0.00,CAD,0.000,7.20,
ISHARES TRUST BARCLAYS 1-3 YEAR TREASURY BD FD DIST      ON       4 SHS REC 04/04/12 PAY 04/09/12      , ,09-Apr-2012,09-Apr-2012,CAD,CASH DIV,0.00,CAD,0.000,0.12,
conf#null Scotia Online US-Friendly Quarterly Fee      , ,02-Apr-2012,02-Apr-2012,CAD,FEE,0.00,CAD,0.000,-30.00,
conf#null Scotia Online US-Friendly Qtrly Fee-HST      , ,02-Apr-2012,02-Apr-2012,CAD,HST,0.00,CAD,0.000,-3.60,
CLAYMORE BRIC ETF UNIT COM NAME CHANGE TO ISHARES      , ,02-Apr-2012,02-Apr-2012,CAD,NAMECHG,-250.00,CAD,0.000,0.00,
ISHARES BRIC INDEX FUND UNIT COM RESULT OF NAME CHANGE      , ,02-Apr-2012,02-Apr-2012,CAD,NAMECHG,250.00,CAD,0.000,0.00,
COCA COLA CO CASH DIV  ON      47 SHS REC 03/15/12 PAY 04/01/12      , ,02-Apr-2012,02-Apr-2012,CAD,STOCKDIV,0.00,CAD,0.000,23.67,
CLAYMORE NATURAL GAS COMMODITY ETF COM UNIT NEW NAME CHANGE TO ISHARES      , ,02-Apr-2012,02-Apr-2012,CAD,NAMECHG,-40.00,CAD,0.000,0.00,
ISHARES NATURAL GAS COMMODITY INDEX FD COM UNIT RESULT OF NAME CHANGE      , ,02-Apr-2012,02-Apr-2012,CAD,NAMECHG,40.00,CAD,0.000,0.00,
HUSKY ENERGY INC COMMON CASH DIV  ON      35 SHS REC 03/06/12 PAY 04/02/12      , ,02-Apr-2012,02-Apr-2012,CAD,STOCKDIV,0.00,CAD,0.000,10.50,
ISHARES DIVERSIFIED MONTHLY INCOME FUND DIST      ON    1000 SHS REC 03/27/12 PAY 03/30/12      , ,30-Mar-2012,30-Mar-2012,CAD,CASH DIV,0.00,CAD,0.000,60.00,
GOLDMAN SACHS GROUP INC CASH DIV  ON      26 SHS REC 03/01/12 PAY 03/29/12      , ,29-Mar-2012,29-Mar-2012,CAD,STOCKDIV,0.00,CAD,0.000,8.98,
MKS INSTRUMENTS INC CASH DIV  ON     150 SHS REC 03/01/12 PAY 03/16/12      , ,16-Mar-2012,16-Mar-2012,CAD,STOCKDIV,0.00,CAD,0.000,22.13,
SPEEDWAY MOTORSPORTS INC CASH DIV  ON     260 SHS REC 03/05/12 PAY 03/15/12      , ,15-Mar-2012,15-Mar-2012,CAD,STOCKDIV,0.00,CAD,0.000,38.30,
ELI LILLY & CO CASH DIV  ON      50 SHS REC 02/15/12 PAY 03/09/12      , ,09-Mar-2012,09-Mar-2012,CAD,STOCKDIV,0.00,CAD,0.000,24.16,
ISHARES TRUST BARCLAYS 1-3 YEAR TREASURY BD FD DIST      ON       4 SHS REC 03/05/12 PAY 03/07/12      , ,07-Mar-2012,07-Mar-2012,CAD,CASH DIV,0.00,CAD,0.000,0.14,
ISHARES DIVERSIFIED MONTHLY INCOME FUND DIST      ON    1000 SHS REC 02/24/12 PAY 02/29/12      , ,29-Feb-2012,29-Feb-2012,CAD,CASH DIV,0.00,CAD,0.000,60.00,
HOSPITALITY PROPERTIES TRUST SBI DIST      ON     100 SHS REC 01/27/12 PAY 02/23/12      , ,23-Feb-2012,23-Feb-2012,CAD,CASH DIV,0.00,CAD,0.000,44.48,
NEW YORK COMMUNITY BANCORP INC CASH DIV  ON     175 SHS REC 02/07/12 PAY 02/17/12      , ,17-Feb-2012,17-Feb-2012,CAD,STOCKDIV,0.00,CAD,0.000,43.25,
POTASH CORP OF SASKATCHEWAN INC CANADIAN LISTED CASH DIV  ON     100 SHS REC 01/19/12 PAY 02/09/12      , ,09-Feb-2012,09-Feb-2012,CAD,STOCKDIV,0.00,CAD,0.000,7.07,
ISHARES TRUST BARCLAYS 1-3 YEAR TREASURY BD FD DIST      ON       4 SHS REC 02/03/12 PAY 02/07/12      , ,07-Feb-2012,07-Feb-2012,CAD,CASH DIV,0.00,CAD,0.000,0.13,
AT&T INC CASH DIV  ON      60 SHS REC 01/10/12 PAY 02/01/12      , ,01-Feb-2012,01-Feb-2012,CAD,STOCKDIV,0.00,CAD,0.000,26.23,
ISHARES DIVERSIFIED MONTHLY INCOME FUND DIST      ON    1000 SHS REC 01/27/12 PAY 02/01/12      , ,01-Feb-2012,01-Feb-2012,CAD,CASH DIV,0.00,CAD,0.000,60.00,
CANADIAN IMPERIAL BANK OF COMMERCE CASH DIV  ON      25 SHS REC 12/28/11 PAY 01/27/12      , ,27-Jan-2012,27-Jan-2012,CAD,STOCKDIV,0.00,CAD,0.000,22.50,
CISCO SYSTEMS INC CASH DIV  ON     200 SHS REC 01/05/12 PAY 01/25/12      , ,25-Jan-2012,25-Jan-2012,CAD,STOCKDIV,0.00,CAD,0.000,12.03,
SAFEWAY INC CASH DIV  ON      50 SHS REC 12/22/11 PAY 01/12/12      , ,12-Jan-2012,12-Jan-2012,CAD,STOCKDIV,0.00,CAD,0.000,7.30,
